gene	drug	regulatory approval	indication	interaction score
GNB3	DIURETIC	Not Approved	""	1.093909817410302
GNB3	TELMISARTAN	Approved	antihypertensive agent	0.7955707762984016
GNB3	TORSEMIDE	Approved	Antihypertensive Agents; Diuretics	0.729273211606868
GNB3	OLANZAPINE	Approved	for treatment of bipolar disorder,antidepressant,antipsychotic agent	0.1151484018326633
GNB3	NORTRIPTYLINE	Approved	antidepressant,antiasthmatic agent	0.2734774543525755
GNB3	HYDRALAZINE / ISOSORBIDE DINITRATE	Not Approved	""	4.375639269641208
GNB3	BUMETANIDE	Approved	Antihypertensive Agents; Diuretics	0.4861821410712454
GNB3	SILDENAFIL	Approved	antihypertensive agent,for treatment of erectile dysfucntion,for treatment of erectile dysfunction	0.7955707762984016
GNB3	SUMATRIPTAN	Approved	antimigraine agent	0.3804903712731485
GNB3	SIBUTRAMINE	Not Approved	appetite suppressant	0.9723642821424908
GH1	SOMAVARATAN	Not Approved	""	8.751278539282415
GH1	ALBUSOMATROPIN	Not Approved	hormone replacement	4.375639269641208
GH1	ACP-001	Not Approved	hormone replacement	4.375639269641208
GH1	DOCOSANOL	Approved	""	1.093909817410302
GH1	SEVIRUMAB	Not Approved	""	8.751278539282415
GH1	SOMATROGON	Not Approved	hormone replacement	5.834185692854944
EFNA2	L779450	Not Approved	""	1.00976290837874
EFNA2	CHIR-265	Not Approved	antineoplastic agent	0.4039051633514962
EFNA2	LY3009120	Not Approved	""	0.2243917574174978
EFNA2	SORAFENIB	Approved	antineoplastic agent	0.01771513874348667
EFNA2	TAK-632	Not Approved	""	0.2243917574174978
EFNA2	VEMURAFENIB	Approved	antineoplastic agent	0.05609793935437447
EFNA2	CCT196969	Not Approved	""	0.3365876361262467
EFNA2	DABRAFENIB	Approved	antineoplastic agent	0.07479725247249928
EFNA2	REGORAFENIB	Approved	antineoplastic agent	0.06119775202295396
EFNA2	GSK329	Not Approved	""	1.00976290837874
EFNA2	COMPOUND 2 [PMID: 26061392]	Not Approved	""	2.01952581675748
EFNA2	TOVORAFENIB	Not Approved	""	0.4039051633514962
EFNA2	AZ628	Not Approved	""	0.5048814541893701
EFNA2	CCT241161	Not Approved	""	0.3365876361262467
EFNA2	AGERAFENIB	Not Approved	""	0.4039051633514962
EFNA2	GDC-0879	Not Approved	""	0.4039051633514962
EFNA2	LUT014	Not Approved	""	2.01952581675748
EFNA2	PLIXORAFENIB	Not Approved	""	1.00976290837874
EFNA2	BELVARAFENIB	Not Approved	""	0.6731752722524935
EFNA2	TINLORAFENIB	Not Approved	""	0.6731752722524935
EFNA2	NAPORAFENIB	Not Approved	""	0.252440727094685
EFNA2	SZM594	Not Approved	""	0.6731752722524935
EFNA2	SB590885	Not Approved	""	0.6731752722524935
EFNA2	EXARAFENIB	Not Approved	""	0.6731752722524935
EFNA2	LIFIRAFENIB	Not Approved	""	0.6731752722524935
EFNA2	PLX-4720	Not Approved	""	0.2019525816757481
TGFB2	GEMOGENOVATUCEL-T	Not Approved	""	3.75054794540675
TGFB2	LERDELIMUMAB	Not Approved	for treatment of glaucoma,opthalmological agent	15.002191781627
TGFB2	BELAGENPUMATUCEL-L	Not Approved	antineoplastic agent	15.002191781627
TGFB2	FRESOLIMUMAB	Not Approved	""	2.500365296937833
TGFB2	BINTRAFUSP ALFA	Not Approved	""	1.5002191781627
TGFB2	TRABEDERSEN	Not Approved	antineoplastic agent	7.5010958908135
TGFB2	LUSPATERCEPT-AAMT	Approved	""	1.875273972703375
ITGA5	ATN-161	Not Approved	""	1.640864726115453
ITGA5	VOLOCIXIMAB	Not Approved	antineoplastic agent	4.375639269641208
ITGA5	PF-04605412	Not Approved	""	6.563458904461812
ITGA5	INTEGRIN RECEPTOR ANTAGONIST GLPG0187	Not Approved	antineoplastic agent	1.093909817410302
ITGA5	CILENGITIDE	Not Approved	antineoplastic agent	1.312691780892362
ITGA5	ETARACIZUMAB	Not Approved	""	1.640864726115453
ITGA5	M-CSF	Not Approved	""	3.281729452230906
ITGA5	DIMETHYL SULFOXIDE	Approved	""	0.8204323630577265
VWF	CAPLACIZUMAB-YHDP	Approved	antithrombotic	8.290684931951763
VWF	PHENYLEPHRINE	Approved	for treatment of incontinence	0.3454452054979901
VWF	VONICOG ALFA	Approved	""	2.763561643983921
VWF	TNP-470	Not Approved	""	2.763561643983921
VWF	RIBAVIRIN	Approved	""	0.145450612841259
VWF	HEPARIN	Approved	for treatment of cystic fibrosis,for treatment of pelvic pain of bladder origin and interstitital cystitis,antithrombotic,anticoagulant	0.172722602748995
VWF	PREDNISONE	Approved	corticosteroid,antiinflammatory agent	0.128537750882973
VWF	PENTOXIFYLLINE	Approved	for treatment of amyotrophic lateral sclerosis (ALS)	0.1579178082276526
VWF	STREPTOZOCIN	Approved	""	0.1802322811293861
VWF	EGAPTIVON PEGOL	Not Approved	antithrombotic	5.527123287967842
VWF	THALIDOMIDE	Approved	antineoplastic agent	0.1493817104856173
VWF	VITAMIN B6	Approved	""	0.9211872146613068
VWF	ACETYLCYSTEINE	Approved	""	0.3684748858645228
VWF	MITOMYCIN	Approved	""	0.2302968036653267
VWF	METHYLENE BLUE ANHYDROUS	Approved	""	0.290901225682518
VWF	TYROSINE KINASE INHIBITOR	Not Approved	""	0.2125816649218401
VWF	VON WILLEBRAND FACTOR	Approved	for treatment of hemophilia A,coagulant	0.6908904109959803
VWF	VINCRISTINE	Approved	antineoplastic agent	0.06823608997491162
VWF	WARFARIN	Approved	Anticoagulants	0.167488584483874
IL17F	M-1095	Not Approved	""	2.500365296937833
IL17F	USTEKINUMAB	Approved	DMARD,antiinflammatory agent,Antipsoriatic Agents	0.7501095890813501
IL17F	BIMEKIZUMAB	Approved	""	7.5010958908135
IL17F	ALUM, POTASSIUM	Approved	""	3.75054794540675
IL17F	RECOMBINANT INTERLEUKIN-17	Not Approved	""	5.000730593875666
IL17F	TNF-ALPHA	Not Approved	""	0.9376369863516875
IL17F	IL-6	Not Approved	""	0.7895890411382631
IL17C	VIDOFLUDIMUS	Not Approved	DMARD,antiinflammatory agent	10.5015342471389
IFNG	MELPHALAN	Approved	""	0.1785975212098452
IFNG	EMAPALUMAB-LZSG	Approved	""	0.4688184931758437
IFNG	THERAPEUTIC AUTOLOGOUS LYMPHOCYTES	Not Approved	""	3.75054794540675
IFNG	BLEOMYCIN	Approved	antineoplastic agent	0.2344092465879218
IFNG	GANCICLOVIR	Approved	""	0.4688184931758437
IFNG	RITUXIMAB	Approved	antineoplastic agent	0.08334550989792777
IFNG	AMITRIPTYLINE HYDROCHLORIDE	Approved	analgesic	0.08334550989792777
IFNG	PEFLOXACIN	Approved	""	0.9376369863516875
IFNG	IBUPROFEN, SODIUM SALT	Approved	NSAID	0.0961678960360705
IFNG	FONTOLIZUMAB	Not Approved	antipsoriatic,for treatment of chron's disease,antiinflammatory agent	3.75054794540675
IFNG	AMG-811	Not Approved	""	1.875273972703375
IFNG	INTERFERON ALFA-2B	Approved	Antineoplastic Agents; Immunomodulatory Agents,for treatment of hepatitis B and C,for treatment of hepatitis,for treatment of hepatitis C	0.4018444227221517
IFNG	METHYLPREDNISOLONE	Approved	Anti-Inflammatory Agents; Glucocorticoids	0.2083637747448194
IFNG	EDRECOLOMAB	Not Approved	""	1.250182648468916
IFNG	MELATONIN	Approved	Hypnotics and Sedatives	0.1293292394967845
IFNG	DOXIFLURIDINE	Not Approved	""	0.9376369863516875
IFNG	URSODIOL	Approved	for prevention of recurrence of colorectal polyps	0.2344092465879218
IFNG	THROMBIN	Approved	topical tissue sealant,for treatment of hemophilia B,coagulant	0.1562728310586145
IFNG	RECOMBINANT INTERLEUKIN-1-BETA	Not Approved	""	1.875273972703375
IFNG	PREDNISONE	Approved	corticosteroid,antiinflammatory agent	0.08722204524201745
IFNG	THEOPHYLLINE	Approved	bronchodilator	0.1389091831632129
IFNG	AMIKACIN	Approved	""	0.5357925636295356
IFNG	SURAMIN	Not Approved	""	0.09869863014228289
IFNG	THERAPEUTIC GLUCOCORTICOID	Not Approved	""	0.1103102336884338
IFNG	CISPLATIN	Approved	""	0.02586584789935689
IFNG	CYCLOPHOSPHAMIDE ANHYDROUS	Approved	""	0.04573838957813109
IFNG	TRETINOIN	Approved	for treatment of acne	0.04121481258688736
IFNG	FUMARIC ACID	Approved	""	1.875273972703375
PRL	PROTEIN SYNTHESIS INHIBITOR	Not Approved	""	0.1215455352678113
PRL	ZIDOVUDINE	Approved	""	0.05402023789680504
PRL	NORETHINDRONE	Approved	contraceptive,Synthetic,Oral,Contraceptives	0.1458546423213736
PRL	RALOXIFENE HYDROCHLORIDE	Approved	Hormone Replacement Agents	0.02917092846427472
PRL	BUPROPION HYDROCHLORIDE	Approved	smoking-cessation agent,appetite suppressant,antidepressant	0.08579684842433742
PRL	PHENOBARBITAL	Approved	Anticonvulsants; Hypnotics and Sedatives	0.03838280061088779
PRL	PILOCARPINE HYDROCHLORIDE	Approved	for treatment of incontinence	0.07676560122177559
PRL	PROTEIN KINASE C INHIBITOR	Not Approved	""	0.2430910705356226
PRL	ANTISERUM	Not Approved	""	0.04167275494896388
PRL	ESTRONE SULFATE	Not Approved	""	0.4861821410712453
PRL	ANTIDEPRESSANT AGENT	Not Approved	""	0.02804896967718723
PRL	ANTIVIRAL AGENT	Not Approved	""	0.1620607136904151
PRL	PROGESTERONE ANTAGONIST	Not Approved	""	1.458546423213736
PRL	ESTRADIOL 3-BENZOATE	Approved	""	0.1458546423213736
PRL	METHYLPHENIDATE HYDROCHLORIDE	Approved	for treatment of ADHD	0.04756129640914356
PRL	TRETINOIN	Approved	for treatment of acne	0.01602798267267842
PRL	ALPHA-ADRENERGIC ANTAGONIST	Not Approved	""	0.729273211606868
PRL	BUPROPION HYDROCHLORIDE	Not Approved	""	1.458546423213736
PRL	DEXAMETHASONE ACETATE	Approved	""	0.729273211606868
PRL	CISPLATIN	Approved	""	0.0100589408497499
PRL	ANTIPSYCHOTIC AGENT	Not Approved	""	0.4861821410712453
PRL	PREGNANT MARE SERUM GONADOTROPIN	Not Approved	""	0.1325951293830669
PRL	GONADOTROPIN-RELEASING HORMONE ANALOG	Not Approved	""	0.729273211606868
PRL	DICLOFENAC SODIUM	Approved	for treatment of glaucoma,analgesic,NSAID	0.04289842421216871
PRL	ALTEPLASE	Approved	Thrombolytic agent	0.07292732116068681
PRL	CLOMIPHENE	Approved	for treatment of testosterone deficiency	0.364636605803434
PRL	ORAL CONTRACEPTIVE	Not Approved	""	0.1988926940746004
PRL	CLONIDINE HYDROCHLORIDE	Approved	antimucositic,for treatment of ADHD,for treatment of diabetic neuropathy	0.1121958787087489
PRL	ANTINEOPLASTIC AGENT	Not Approved	""	0.1041818873724097
PRL	BETA-ADRENERGIC ANTAGONIST	Not Approved	""	0.2917092846427472
PRL	NALOXONE HYDROCHLORIDE	Approved	for treatment of opioid addiction,analgesic	0.08579684842433742
PRL	ALPHA-ADRENERGIC AGONIST	Not Approved	""	0.364636605803434
PRL	PHENOTHIAZINE	Not Approved	""	0.0911591514508585
PRL	HYPOXIS HEMEROCALLIDEA ROOT EXTRACT	Approved	""	0.729273211606868
PRL	CALCIUM CHANNEL BLOCKER	Not Approved	""	0.2430910705356226
PRL	CALCIUM GLUCONATE	Approved	""	0.364636605803434
PRL	ISOSORBIDE DINITRATE	Approved	antihypertensive agent	0.1325951293830669
PRL	BETAMETHASONE	Approved	glucocorticoid,antiinflammatory agent	0.1458546423213736
PRL	CYPROHEPTADINE HYDROCHLORIDE	Approved	Anti-Allergic Agents; Appetite Stimulant	0.1215455352678113
PRL	MELATONIN	Approved	Hypnotics and Sedatives	0.05029470424874952
PRL	ECHINACEA PREPARATION	Approved	""	0.364636605803434
PRL	MONOAMINE OXIDASE INHIBITOR	Not Approved	""	0.05029470424874952
PRL	ETHINYL ESTRADIOL	Approved	contraceptive	0.07292732116068681
PRL	AMITRIPTYLINE HYDROCHLORIDE	Approved	analgesic	0.04861821410712454
PRL	FREUND'S ADJUVANT	Not Approved	""	0.1215455352678113
PRL	CARBAMAZEPINE	Approved	for treatment of bipolar disorder	0.04464938030246131
PRL	PROPYLTHIOURACIL	Approved	Antithyroid Agents	0.07292732116068681
PRL	TEMOZOLOMIDE	Approved	""	0.07292732116068681
PRL	GENISTEIN	Approved	""	0.02514735212437476
PRL	BUSPIRONE	Approved	Anti-anxiety Agents	0.2083637747448194
PRL	EFLORNITHINE	Approved	for treatment of unwanted facial hair in women	0.1325951293830669
PRL	ASCORBIC ACID	Approved	""	0.05609793935437447
PRL	FLUOXYMESTERONE	Approved	Anabolic Agents; Antineoplastic Agents	0.364636605803434
PRL	GOSSYPOL	Not Approved	""	0.06077276763390566
PRL	FLURAZEPAM	Approved	Hypnotics and Sedatives	0.06945459158160647
PRL	RECOMBINANT FAS LIGAND	Not Approved	""	0.364636605803434
PRL	MANNITOL	Approved	""	0.2430910705356226
PRL	CLOZAPINE	Approved	Antipsychotic Agents	0.01503656106405913
PRL	TYRPHOSTIN A25	Not Approved	""	0.729273211606868
PRL	SELENIUM	Approved	""	0.08579684842433742
PRL	PHOSPHODIESTERASE INHIBITOR	Not Approved	""	0.364636605803434
PRL	UBENIMEX	Not Approved	""	0.2083637747448194
PRL	BACITRACIN	Approved	""	0.4861821410712453
PRL	NICARDIPINE	Approved	Anti-Arrhythmia Agents; Antihypertensive Agents	0.0911591514508585
PRL	RECOMBINANT VASCULAR ENDOTHELIAL GROWTH FACTOR	Not Approved	""	0.1041818873724097
PRL	SELECTIVE ESTROGEN RECEPTOR MODULATOR	Not Approved	""	0.1620607136904151
PRL	LOVASTATIN	Approved	anticholesterolaemic agent	0.03739862623624964
PRL	NILUTAMIDE	Approved	Antineoplastic Agents	0.1458546423213736
PRL	BENZNIDAZOLE	Approved	""	0.729273211606868
PRL	TESTOLACTONE	Approved	Hormonal,Antineoplastic Agents	0.364636605803434
PRL	PROMETHAZINE HYDROCHLORIDE	Approved	Hypnotics and Sedatives; Anti-anxiety agents; Anti-allergic Agents	0.06629756469153346
PRL	SN-1,2-DIDECANOYLGLYCEROL	Not Approved	""	0.729273211606868
CCL4	CLODRONIC ACID	Approved	antineoplastic agent	3.182283105193606
CCL4	CYCLOSPORINE	Approved	immunosuppressant,opthalmological agent	0.4023576339899961
CCL4	EPOETIN ALFA	Approved	for treatment of anemia,Antianemic Agents,for treatment of stroke,erythropoietic agent	1.029562181092049
COL4A2	NAVOXIMOD	Not Approved	""	17.50255707856483
COL4A2	OCRIPLASMIN	Approved	""	0.4605936073306535
COL4A2	COLLAGENASE CLOSTRIDIUM HISTOLYTICUM-AAES	Approved	for treatment of Dupuytren's contracture	0.6250913242344582
IL6R	SARILUMAB	Approved	""	12.11715490054488
IL6R	BAZEDOXIFENE	Approved	antiosteoporotic agent	1.615620653405984
IL6R	SIRUKUMAB	Not Approved	DMARD,antiinflammatory agent	4.039051633514961
IL6R	PROTEASOME INHIBITOR	Not Approved	""	0.4039051633514962
IL6R	RALOXIFENE HYDROCHLORIDE	Approved	Hormone Replacement Agents	0.1615620653405984
IL6R	TOCILIZUMAB	Approved	DMARD,antiinflammatory agent	4.039051633514961
IL6R	VOBARILIZUMAB	Not Approved	""	4.039051633514961
IL6R	FLUOROURACIL	Approved	""	0.06788322073134388
IL6R	VOBARILIZUMAB	Not Approved	""	4.039051633514961
IL6R	IL-6	Not Approved	""	0.21258166492184
IL6R	SATRALIZUMAB	Approved	""	5.385402178019948
IL6R	LEVILIMAB	Not Approved	""	4.039051633514961
IL6R	THALIDOMIDE	Approved	antineoplastic agent	0.218327115325133
CXCL2	BACILLUS CALMETTE-GUERIN ANTIGEN	Not Approved	""	0.729273211606868
CXCL2	CYCLOSPORINE	Approved	immunosuppressant,opthalmological agent	0.100589408497499
CXCL2	ALTEPLASE	Approved	Thrombolytic agent	0.4375639269641209
CXCL2	STAUROSPORINE	Not Approved	""	0.3125456621172291
CXCL2	IL-13	Not Approved	""	2.187819634820604
CXCL2	RECOMBINANT NEUROTROPHIC FACTOR	Not Approved	""	1.750255707856483
CXCL2	BETA-GLUCAN	Not Approved	""	4.375639269641208
CXCL2	RECOMBINANT FIBROBLAST GROWTH FACTOR 2	Not Approved	""	0.7955707762984016
CXCL2	DEFEROXAMINE	Approved	""	0.5147810905460245
CXCL2	SLR14	Not Approved	""	4.375639269641208
CXCL2	BATIMASTAT	Not Approved	""	2.187819634820604
CXCL2	DEXTRAN SULFATE SODIUM	Not Approved	""	1.093909817410302
CX3CL1	FREUND'S ADJUVANT	Not Approved	""	2.917092846427472
CX3CL1	QUETMOLIMAB	Not Approved	""	17.50255707856483
CX3CL1	ATEZOLIZUMAB	Approved	""	0.8334550989792776
ITGA4	UCB-1184197	Not Approved	""	5.834185692854944
ITGA4	SENKTIDE	Not Approved	""	1.944728564284981
ITGA4	BIO1211	Not Approved	""	5.834185692854944
ITGA4	NATALIZUMAB	Approved	for treatment of Crohn's disease,antiinflammatory agent	5.834185692854944
ITGA4	FIRATEGRAST	Not Approved	antiinflammatory agent	3.889457128569962
ITGA4	R1295	Not Approved	antiinflammatory agent	1.944728564284981
ITGA4	VEDOLIZUMAB	Approved	for treatment of ulcerative colitis,for treatment of Chron's disease	5.834185692854944
ITGA4	ATL1102	Not Approved	antiinflammatory agent	2.917092846427472
ITGA4	ABRILUMAB	Not Approved	""	3.889457128569962
RPTOR	AZD8055	Not Approved	""	0.5048814541893702
RPTOR	DOXEPIN HYDROCHLORIDE	Approved	hypnotic,antimigraine agent	0.07458476027797514
RPTOR	EVEROLIMUS	Approved	immunosuppressant	0.1875273972703375
RPTOR	OSI-027	Not Approved	antineoplastic agent	0.364636605803434
RPTOR	NORTRIPTYLINE	Approved	antidepressant,antiasthmatic agent	0.1025540453822158
RPTOR	TEMSIROLIMUS	Approved	antineoplastic agent	0.2524407270946851
RPTOR	CLOMIPRAMINE	Approved	Tricyclic,Antidepressive Agents	0.08636130137449753
RPTOR	DESIPRAMINE	Approved	Tricyclic,Antidepressive Agents	0.08414690903156169
RPTOR	SIROLIMUS	Approved	for treatment of wet age-related macular degeneration,immunosuppressant	0.05757420091633168
RPTOR	INDOXIMOD	Not Approved	""	1.093909817410302
RPTOR	SAPANISERTIB	Approved	antineoplastic agent	0.1491695205559502
RPTOR	DACTOLISIB	Not Approved	""	0.06697407045369196
RPTOR	TRIMIPRAMINE	Approved	Tricyclic,Antidepressive Agents	0.0994463470373002
RPTOR	OSI-027	Not Approved	""	1.640864726115453
RPTOR	AMITRIPTYLINE HYDROCHLORIDE	Approved	analgesic	0.0729273211606868
RPTOR	MONOAMINE OXIDASE INHIBITOR	Not Approved	""	0.1131630845596864
IL9	ENOKIZUMAB	Not Approved	antiasthmatic agent	35.00511415712966
IL9	ENOKIZUMAB	Not Approved	""	17.50255707856483
IL9	IL-2/9/15 GAMMA CHAIN RECEPTOR INHIBITOR BNZ-1	Not Approved	""	4.375639269641208
CRLF2	SIROLIMUS	Approved	for treatment of wet age-related macular degeneration,immunosuppressant	0.3070624048871023
CRLF2	2-TERT-BUTYL-9-FLUORO-1,6-DIHYDROBENZO[H]IMIDAZO[4,5-F]ISOQUINOLIN-7-ONE	Not Approved	""	2.917092846427472
CRLF2	RUXOLITINIB	Approved	antiinflammatory agent,antineoplastic agent	1.029562181092049
IL10	AMOXICILLIN ANHYDROUS	Approved	""	0.2763561643983921
IL10	SIROLIMUS	Approved	for treatment of wet age-related macular degeneration,immunosuppressant	0.1842374429322613
IL10	SHO-SAIKO-TO	Not Approved	""	1.312691780892362
IL10	CLARITHROMYCIN	Approved	""	0.3088686543276147
IL10	ILODECAKIN	Not Approved	""	2.625383561784724
IL10	EFAVIRENZ	Approved	""	0.2625383561784725
IL10	PEGILODECAKIN	Not Approved	""	0.6563458904461812
IL10	ZIDOVUDINE	Approved	""	0.1944728564284981
IL10	ROFECOXIB	Approved	NSAID	0.5834185692854945
IL10	RABEPRAZOLE	Approved	Proton pump inhibitor	0.2019525816757481
IL10	ACYCLOVIR	Approved	""	0.8751278539282416
IL10	SCH-708980	Not Approved	""	2.625383561784724
IL10	MESALAMINE	Approved	for treatment of ulcerative proctitis,for treatment of ulcerative colitis,antiinflammatory agent	0.2386712328895204
IL10	FLUTICASONE	Approved	glucocorticoid,antiinflammatory agent,for treatment of symptomatic exophthalmos associated with thyroid-related eye disease,bronchodilator	0.2763561643983921
IL10	LISOFYLLINE	Not Approved	antidiabetic	2.625383561784724
IL10	PROTON PUMP INHIBITOR	Not Approved	""	1.312691780892362
IL10	ETANERCEPT-SZZS	Approved	DMARD,antiinflammatory agent	0.2019525816757481
IL10	TRETINOIN	Approved	for treatment of acne	0.05770073762164231
IL10	MACROLIDE ANTIBIOTIC	Not Approved	""	1.312691780892362
IL10	ANESTHETIC AGENT	Not Approved	""	0.5250767123569451
IL12RB2	DENILEUKIN DIFTITOX	Approved	antineoplastic agent	4.375639269641208
IL12RB2	AS1409	Not Approved	antineoplastic agent	8.751278539282415
LTA	CARBAMAZEPINE	Approved	for treatment of bipolar disorder	0.5357925636295356
LTA	ABACAVIR	Approved	""	2.386712328895204
LTA	PATECLIZUMAB	Not Approved	""	13.12691780892362
LTA	BAMINERCEPT ALFA	Not Approved	DMARD,antiinflammatory agent	6.563458904461812
IL22	FEZAKINUMAB	Not Approved	""	78.76150685354175
IL22	EFMARODOCOKIN ALFA	Not Approved	""	26.25383561784724
IL2	CARBOXYAMIDOTRIAZOLE OROTATE	Not Approved	""	0.4102161815288632
IL2	ROXITHROMYCIN	Not Approved	""	0.182318302901717
IL2	IL-2/9/15 GAMMA CHAIN RECEPTOR INHIBITOR BNZ-1	Not Approved	""	0.2051080907644316
IL2	OFLOXACIN	Approved	""	0.1367387271762877
IL2	HUMAN CHORIONIC GONADOTROPIN	Approved	""	0.08636130137449753
IL2	BECLOMETHASONE	Approved	glucocorticoid,antiinflammatory agent	0.1367387271762877
IL2	EDRECOLOMAB	Not Approved	""	0.546954908705151
IL2	RITUXIMAB	Approved	antineoplastic agent	0.0364636605803434
IL2	METYROSINE	Approved	Catecholamine synthesis inhibitors	0.1262203635473425
IL2	BCG VACCINE	Approved	""	0.546954908705151
IL2	HALOFUGINONE	Not Approved	antineoplastic agent	0.2734774543525755
IL2	MISTLETOE EXTRACT	Not Approved	""	0.8204323630577265
IL2	TICARCILLIN	Not Approved	""	0.8204323630577265
IL2	PERFOSFAMIDE	Not Approved	""	0.2734774543525755
IL2	PROCHLORPERAZINE	Approved	antiemetic,antimigraine agent	0.05860231164698046
IL2	MESMULOGENE ANCOVACIVEC	Not Approved	""	0.4102161815288632
IL2	DIDEMNIN B	Not Approved	""	1.640864726115453
IL2	THYMOCTONAN	Not Approved	""	0.8204323630577265
IL2	ITRACONAZOLE	Approved	""	0.182318302901717
IL2	CALCITRIOL	Approved	antineoplastic agent,antipsoriatic agent	0.1367387271762877
IL2	LEUVECTIN	Not Approved	""	0.8204323630577265
IL2	PROTEIN KINASE C INHIBITOR	Not Approved	""	0.182318302901717
IL2	INTERFERON BETA-1B	Approved	for treatment of multiple sclerosis	0.1640864726115453
IL2	ALDESLEUKIN	Approved	antineoplastic agent	0.02734774543525755
IL2	AZIRIDINE	Not Approved	""	1.640864726115453
IL2	PRAVASTATIN SODIUM	Approved	anticholesterolaemic agent,antihypecholesterolemic agent	0.06077276763390567
IL2	QUININE	Approved	""	0.1893305453210138
IL2	GARLIC EXTRACT	Not Approved	""	1.640864726115453
IL2	TILARGININE	Not Approved	for treatment of cardiogenic shock	0.2344092465879218
IL2	TRICHOSTATIN A	Not Approved	""	0.08204323630577266
IL2	RECOMBINANT TRANSFORMING GROWTH FACTOR-BETA	Not Approved	""	1.640864726115453
IL2	IMIPENEM ANHYDROUS	Approved	""	1.640864726115453
IL2	PYRIMETHAMINE	Approved	""	0.1491695205559502
IL2	METOCLOPRAMIDE HYDROCHLORIDE	Approved	antimigraine agent,antiemetic,for treatment of gastroesophageal reflux disease,motilitant,for treatment of diabetic gastroparesis	0.1172046232939609
IL2	MIDOSTAURIN	Approved	antineoplastic agent	0.04557957572542925
IL2	MACROLIDE ANTIBIOTIC	Not Approved	""	0.4102161815288632
IL2	LYMPHOKINE-ACTIVATED KILLER CELLS	Not Approved	""	0.1491695205559502
IL2	CYCLOSPORINE	Approved	immunosuppressant,opthalmological agent	0.0282907711399216
IL2	HUMAN INTERLEUKIN-2	Not Approved	""	0.8204323630577265
IL2	ANHYDROUS TACROLIMUS	Approved	immunosuppressant	0.05860231164698046
IL2	CLOZAPINE	Approved	Antipsychotic Agents	0.01691613119706652
IL2	GARLIC	Not Approved	""	0.1640864726115453
IL2	TROPISETRON	Approved	""	0.1093909817410302
IL2	DACLIZUMAB	Approved	immunosuppressant	0.2051080907644316
IL2	ACETAMINOPHEN	Approved	analgesic	0.03155509088683564
IL2	GLYBURIDE	Approved	antidiabetic,Hypoglycemic Agents	0.05658154227984321
IL2	MARIJUANA	Not Approved	""	0.4102161815288632
IL2	PHYTOCHEMICAL	Not Approved	""	0.546954908705151
IL2	GENTAMICIN	Approved	""	0.07134194461371535
IL2	CELL DIFFERENTIATING AGENT	Not Approved	""	1.640864726115453
IL2	PEFLOXACIN	Approved	""	0.4102161815288632
IL2	CYCLOOXYGENASE INHIBITOR	Not Approved	""	0.4102161815288632
IL2	LORUKAFUSP ALFA	Not Approved	""	0.8204323630577265
IL2	MESMULOGENE ANCOVACIVEC	Not Approved	""	0.4102161815288632
IL2	BROMOCRIPTINE	Approved	antidiabetic	0.05293112019727268
IL2	PROTEASOME INHIBITOR	Not Approved	""	0.08204323630577266
IL2	PRASTERONE	Approved	hormone supplement for increasing bone mineral density in patients with systemic lupus erythematosus	0.09115915145085851
IL2	METHOTREXATE	Approved	DMARD	0.01465057791174511
IL2	PENTAMIDINE ISETHIONATE	Approved	""	0.2344092465879218
IL2	RECOMBINANT SOLUBLE HUMAN CD4 PROTEIN	Not Approved	""	1.640864726115453
IL2	CEFEPIME	Approved	""	1.640864726115453
IL2	AMIKACIN	Approved	""	0.2344092465879218
IL2	DIETHYLSTILBESTROL DIPHOSPHATE	Approved	""	0.546954908705151
IL2	SIGNAL TRANSDUCTION INHIBITOR	Not Approved	""	0.4102161815288632
IL9R	IL-9	Not Approved	""	35.00511415712966
LPAR3	SAR100842	Not Approved	""	17.50255707856483
LPAR3	CHEMBL:CHEMBL519155	Not Approved	""	52.50767123569449
IFNB1	PEGINTERFERON BETA-1A	Approved	""	4.375639269641208
IFNB1	PF-06823859	Not Approved	""	26.25383561784724
IFNB1	LYOPHILIZED HUMAN RECOMBINANT INTERFERON-BETA 1A FP-1201	Not Approved	""	13.12691780892362
IFNB1	INTERFERON BETA-1A	Approved	antineoplastic agent,for treatment of multiple sclerosis	0.8751278539282417
CSF3	EFBEMALENOGRASTIM ALFA	Approved	""	8.751278539282415
CSF3	PEGFILGRASTIM BIOSIMILAR LA-EP2006	Not Approved	""	8.751278539282415
CSF3	EFLAPEGRASTIM	Approved	""	4.375639269641208
CSF3	INTERLEUKIN-3	Not Approved	""	4.375639269641208
CSF3	TALABOSTAT	Not Approved	for treatment of neutropenia	1.750255707856483
CSF3	RECOMBINANT HUMAN ALBUMIN-HUMAN GRANULOCYTE COLONY-STIMULATING FACTOR	Not Approved	""	17.50255707856483
CD70	ANTI-CD70 ANTIBODY-DRUG CONJUGATE MDX-1203	Not Approved	antineoplastic agent	8.078103267029922
CD70	METOLAZONE	Approved	Antihypertensive Agents; Diuretics	1.00976290837874
CD70	CHLOROTHIAZIDE	Approved	Antihypertensive Agents; Diuretics	0.577007376216423
CD70	MDX-1411	Not Approved	antineoplastic agent	12.11715490054488
CD70	CYCLOTHIAZIDE	Approved	Antihypertensive Agents; Diuretics	0.4487835148349957
